78,16,235,2
7,2,535,2
2,19,336,1
3,19,337,1
1,16,393,1
2,11,336,1
1,10,336,1
10,22,419,1
2,9,336,1
1,16,336,1
3,7,416,1
2,13,351,1
2,14,336,1
1,15,352,1
2,15,352,1
3,23,421,1
10,17,336,1
2,17,336,1
2,13,223,1
1,20,485,1
1,9,331,1
3,10,335,1
1,9,0,1
236,21,331,1
4,16,487,1
3,11,336,1
2,9,486,1
1,4,224,2
1,21,497,1
4,10,222,1
2,16,336,1
1,14,334,1
2,17,646,1
1,10,500,1
1,14,551,1
2,15,318,1
13,20,332,1
1,11,322,1
1,17,324,1
2,13,218,1
1,22,221,1
2,14,324,1
1,19,594,1
4,16,534,1
12,22,535,2
1,19,336,1
1,15,912,1
5,8,336,1
8,18,331,1
1,1,336,1
4,13,0,1
2,18,336,1
18,6,537,1
1,19,261,1
2,8,336,1
2,16,225,1
16,1,297,1
3,20,221,1
1,18,336,1
3,11,324,1
4,23,336,1
4,17,334,1
2,10,336,1
1,20,485,1
3,21,225,1
10,10,0,1
2,19,336,1
10,9,346,1
3,7,0,1
1,22,352,1
7,17,336,1
1,10,485,1
14,11,349,1
2,11,237,1
5,17,336,1
2,18,336,1
2,9,346,1
4,14,336,1
2,11,333,1
12,20,336,1
1,17,393,1
2,10,335,1
1,18,346,1
1,11,333,1
1,4,656,1
1,19,417,1
1,15,336,1
2,10,331,1
2,7,688,1
5,21,336,1
2,17,346,1
2,7,336,1
2,8,352,1
1,18,337,1
4,20,346,1
2,10,336,1
1,22,216,1
8,15,332,1
3,14,331,1
1,10,336,1
1,10,447,1
2,10,324,1
9,18,336,1
11,15,419,1
2,18,346,1
1,10,0,1
1,9,336,1
30,23,372,2
12,9,336,1
2,18,337,1
6,13,334,1
2,21,225,1
2,18,334,1
6,9,178,1
3,9,332,1
5,10,336,1
1,8,346,1
2,13,333,1
1,12,226,1
2,15,331,1
4,14,367,1
3,8,482,1
21,15,417,1
84,22,371,2
2,20,324,1
2,18,336,1
22,3,375,1
5,16,336,1
2,16,486,1
6,10,336,1
3,13,971,1
5,22,336,1
2,17,318,1
1,15,312,1
1,13,120,1
1,19,485,1
1,10,336,1
2,17,336,1
10,15,349,1
7,11,278,1
2,9,346,1
1,18,0,1
4,13,486,1
3,22,960,1
6,21,346,1
6,14,334,1
1,16,346,1
21,2,371,2
2,10,421,1
2,18,336,1
4,17,346,1
2,11,352,1
8,16,331,1
6,21,324,1
1,20,324,1
2,20,336,1
4,19,485,1
1,19,332,1
1,10,324,1
5,2,336,1
1,8,337,1
1,21,678,1
1,9,336,1
2,10,334,1
2,12,336,1
2,10,402,1
2,21,225,1
36,18,244,1
31,20,213,2
1,18,201,1
1,17,331,1
2,16,336,1
10,19,349,1
2,8,421,1
4,13,336,1
1,8,226,1
12,19,336,1
8,18,336,1
1,13,390,1
2,11,333,1
7,19,336,1
2,19,335,1
4,17,336,1
6,18,336,1
3,11,352,1
2,23,346,1
36,11,235,2
2,12,336,1
1,17,485,1
1,12,417,1
2,13,324,1
3,14,339,1
6,20,486,1
6,8,336,1
2,20,447,1
4,11,336,1
4,12,331,1
11,17,336,1
8,14,491,1
7,15,485,1
4,14,486,1
2,9,336,1
4,9,0,1
6,16,336,1
2,15,485,1
1,14,442,1
1,12,333,1
1,12,967,1
2,13,352,1
12,19,335,1
2,14,331,1
3,19,336,1
7,19,336,1
1,11,346,1
2,19,487,1
1,22,963,1
1,21,201,1
6,13,336,1
4,12,346,1
1,15,482,1
3,14,324,1
2,22,346,1
4,16,336,1
2,17,336,1
5,11,238,1
25,10,336,1
6,9,349,1
4,10,336,1
2,11,346,1
2,9,335,1
2,10,346,1
3,12,500,1
2,12,335,1
1,14,336,1
5,12,421,1
2,12,335,1
1,12,346,1
3,11,346,1
1,12,221,1
6,18,485,1
2,16,888,1
2,10,346,1
1,19,590,1
1,14,324,1
2,17,346,1
4,19,336,1
3,17,336,1
2,11,346,1
3,10,336,1
1,5,336,1
3,0,346,1
11,17,346,1
6,7,336,1
101,6,297,1
3,18,336,1
3,15,336,1
1,16,487,1
2,9,336,1
2,10,336,1
8,15,312,1
6,12,336,1
1,20,337,1
2,11,336,1
23,19,223,1
1,11,590,1
3,16,336,1
2,10,332,1
1,8,605,1
8,8,336,1
2,9,312,1
1,19,262,1
3,11,521,1
1,18,485,1
119,5,534,1
12,17,243,1
3,16,336,1
2,18,960,1
1,11,336,1
3,17,346,1
2,13,336,1
1,2,225,1
4,12,346,1
26,18,336,1
132,3,297,2
3,11,336,1
5,17,316,1
